"ID","Produto"
"07099011","Milho doce, para semeadura"
"07099019","Milho doce, fresco ou refrigerad, exceto para semeadura"
"07081000","Ervilhas (Pisum sativum), frescas ou refrigeradas"
"07082000","Feijões (vigna, phaseolus spp) frescos ou refrigerados"
"09011110","Café não torrado, não descafeinado, em grão"
"12081000","Farinha de soja"
"11042100","Grãos de cevada, descascados, em pérolas, cortados, etc."
"11042300","Outros grãos trabalhados (por exemplo, descascados, em pérolas, cortados ou partidos), de milho"
"10051000","Milho para semeadura"
"10059010","Milho em grão, exceto para semeadura"
"10061010","Arroz com casca (arroz paddy), para semeadura"
"10061091","Arroz com casca (arroz paddy), parboilizado"
"10061092","Arroz com casca (arroz paddy), não parboilizado"
"10062010","Arroz descascado (arroz cargo ou castanho), descascado, parboilizado"
"10062020","Arroz descascado (arroz cargo ou castanho), não parboilizado"
"10063011","Arroz semibranqueado ou branqueado, parboilizado, polido ou brunido"
"10063019","Outros tipode de arroz semibranqueado ou branqueado, parboilizado"
"10063021","Arroz semibranqueado ou branqueado, não parboilizado, polido ou brunido"
"07133590","Feijão-fradinho, exceto para semeadura"
"07133910","Outros feijões (Vigna ou Phaseolus), secos, para semeadura"
"07133990","Outros feijões (Vigna ou Phaseolus), secos, em grãos"
"07134010","Lentilhas secas, para semeadura"
"07134090","Outras lentilhas secas, em grãos"
"10019900","Outros trigos e misturas de trigo com centeio, exceto para semeadura"
"10020010","Centeio para semeadura"
"10020090","Centeio, exceto para semeadura"
"10021000","Centeio, para semeadura"
"10029000","Centeio, exceto para semeadura"
"10030010","Cevada para semeadura"
"10030091","Cevada cervejeira"
"10030098","Cevada em grão, exceto cervejeira ou para semeadura"
"10031000","Cevada, para semeadura"
"10039010","Cevada cervejeira"
"07133110","Feijões (vigna mungo ou radiata) secos, para semeadura"
"07133190","Outros feijões (vigna mungo ou radiata), secos, em grãos"
"07133210","Feijão-adzuki (Phaseolus ou Vigna angularis), seco, para semeadura"
"07133290","Outros feijões adzuki (Phaseolus ou Vigna angularis), secos, em grãos"
"07133311","Feijão comum ((Phaseolus vulgaris), preto, seco, para semeadura"
"07133319","Outros feijões comuns, pretos, secos, em grãos"
"07133321","Feijão comum, branco, seco, para semeadura"
"07133329","Outros feijões comuns, brancos, secos, em grãos"
"07133391","Outros feijões comuns, secos, para semeadura"
"07133399","Outros feijões comuns, secos, em grãos"
"07133410","Feijão-bambara (Vigna subterranea ou Voandzeia subterranea), para semeadura"
"07133490","Feijão-bambara (Vigna subterranea ou Voandzeia subterranea), exceto para semeadura"
"07133510","Feijão-fradinho (Vigna unguiculata), para semeadura"
"12010010","Soja para semeadura"
"12010090","Outros grãos de soja, mesmo triturados"
"12011000","Soja, mesmo triturada, para semeadura"
"12019000","Soja, mesmo triturada, exceto para semeadura"
"10019090","Trigo (exceto trigo duro ou para semeadura), e trigo com centeio"
"10019100","Outrros trigos e misturas de trigo com centeio, para semeadura"
"10070010","Sorgo em grão para semeadura"
"10070090","Sorgo em grão, exceto para semeadura"
"10071000","Sorgo de grão, para semeadura"
"10079000","Sorgo de grão, exceto para semeadura"
"10085010","Quinoa (Chenopodium quinoa), para semeadura"
"10085090","Quinoa (Chenopodium quinoa), exceto para semeadura"
"07136010","Feijão-guando (Cajanus cajan), para semeadura"
"07136090","Feijão-guando (Cajanus cajan), exceto para semeadura"
"07131010","Ervilhas (Pisum sativum), secos, em grão, mesmo pelados ou partidos, para semeadura"
"07131090","Outras ervilhas (Pisum sativum), secos, em grão, mesmo pelados ou partidos"
"07132010","Grão-de-bico, seco, para semeadura"
"11041100","Grãos de cevada, esmagados ou em flocos"
"19043000","Trigo bulgur"
"10011010","Trigo duro para semeadura"
"10011090","Trigo duro, exceto para semeadura"
"10011100","Trigo duro, para semeadura"
"10011900","Trigo duro, exceto para semeadura"
"10019010","Trigo (exceto trigo duro) para semeadura"
"10081010","Trigo mourisco para semeadura"
"10081090","Trigo mourisco, exceto para semeadura"
